x,y
tensor(877.24915),tensor(486.30847)
tensor(880.68225),tensor(487.49573)
tensor(889.03583),tensor(487.11981)
tensor(893.93164),tensor(486.50253)
tensor(894.12488),tensor(491.63104)
tensor(897.55676),tensor(488.61328)
tensor(902.10187),tensor(485.53381)
tensor(897.04376),tensor(480.73682)
tensor(899.94012),tensor(479.17987)
tensor(895.47583),tensor(478.63599)
tensor(891.80048),tensor(477.68372)
tensor(886.46350),tensor(476.13928)
tensor(886.36127),tensor(475.59213)
tensor(892.36127),tensor(474.34924)
tensor(901.49139),tensor(475.95416)
tensor(911.34784),tensor(476.18903)
tensor(919.58881),tensor(478.20264)
tensor(926.95428),tensor(478.41223)
tensor(936.04541),tensor(477.52585)
tensor(938.65027),tensor(477.60699)
tensor(942.61133),tensor(478.02371)
tensor(945.15961),tensor(480.61493)
tensor(949.53723),tensor(479.53934)
tensor(953.98541),tensor(480.45581)
tensor(957.42212),tensor(481.52048)
tensor(960.95575),tensor(483.92575)
tensor(966.39294),tensor(483.63037)
tensor(974.29498),tensor(482.38745)
tensor(980.08832),tensor(483.58844)
tensor(988.02203),tensor(483.92474)
tensor(993.10193),tensor(484.03607)
tensor(1000.28809),tensor(487.87134)
tensor(1006.43530),tensor(493.41614)
tensor(1011.14417),tensor(497.94061)
tensor(1017.30371),tensor(500.06335)
tensor(1019.28479),tensor(499.39594)
tensor(1020.42676),tensor(498.81940)
tensor(1023.67456),tensor(500.15503)
tensor(1024.93481),tensor(501.98651)
tensor(1025.36597),tensor(502.47986)
tensor(1027.07031),tensor(503.11188)
tensor(1026.41809),tensor(502.11932)
tensor(1026.93689),tensor(501.49292)
tensor(1027.83447),tensor(500.45721)
tensor(1029.98315),tensor(501.29047)
tensor(1033.33557),tensor(501.36401)
tensor(1034.68579),tensor(501.45020)
tensor(1032.23279),tensor(501.00513)
tensor(1032.21460),tensor(501.62225)
tensor(1029.18945),tensor(501.42847)
tensor(1029.89172),tensor(501.65454)
tensor(1030.10425),tensor(501.87042)
tensor(1029.62939),tensor(501.88922)
tensor(1029.20972),tensor(502.77344)
tensor(1028.61572),tensor(502.44147)
tensor(1028.47168),tensor(502.88184)
tensor(1026.97974),tensor(502.96045)
tensor(1026.17834),tensor(503.21674)
tensor(1025.99939),tensor(503.12219)
tensor(1024.39185),tensor(503.06250)
tensor(1023.65753),tensor(502.74396)
tensor(1022.56042),tensor(502.12805)
tensor(1021.26758),tensor(501.60236)
tensor(1018.43567),tensor(500.84448)
tensor(1017.33301),tensor(500.15662)
tensor(1015.36841),tensor(499.78076)
tensor(1012.92224),tensor(498.72766)
tensor(1009.50513),tensor(498.65582)
tensor(1006.96570),tensor(495.75702)
tensor(1002.19818),tensor(493.92273)
tensor(1000.03168),tensor(492.83398)
tensor(997.43781),tensor(492.14069)
tensor(994.27423),tensor(490.26678)
tensor(991.48596),tensor(489.75793)
tensor(987.47321),tensor(487.63739)
tensor(985.21069),tensor(486.93213)
tensor(981.15466),tensor(485.10602)
tensor(976.07312),tensor(483.99310)
tensor(968.92566),tensor(481.62872)
tensor(966.92468),tensor(478.52765)
tensor(960.76331),tensor(476.33087)
tensor(956.34949),tensor(475.20670)
tensor(952.93054),tensor(474.72375)
tensor(949.38062),tensor(472.87793)
tensor(948.03674),tensor(469.86380)
tensor(947.92291),tensor(469.10870)
tensor(947.77618),tensor(467.56491)
tensor(947.20184),tensor(467.74084)
tensor(946.16797),tensor(463.42087)
tensor(944.49731),tensor(463.19037)
tensor(944.09576),tensor(462.94400)
tensor(943.70837),tensor(464.34628)
tensor(943.95581),tensor(464.52563)
tensor(944.09460),tensor(464.66959)
tensor(944.46405),tensor(464.67291)
tensor(944.10516),tensor(464.88519)
tensor(944.11823),tensor(465.71259)
tensor(943.82648),tensor(465.92603)
tensor(944.06561),tensor(465.29010)
tensor(943.90076),tensor(465.29083)
tensor(943.86737),tensor(465.54987)
tensor(943.52679),tensor(464.70557)
tensor(942.69147),tensor(465.37317)
tensor(941.64154),tensor(466.54568)
tensor(940.49561),tensor(467.27850)
tensor(939.74622),tensor(465.94363)
tensor(938.86145),tensor(464.97113)
tensor(937.72101),tensor(466.33209)
tensor(936.10321),tensor(466.62268)
tensor(933.13580),tensor(465.74930)
tensor(931.88428),tensor(464.70850)
tensor(931.08331),tensor(466.14606)
tensor(930.54486),tensor(465.58008)
tensor(929.72137),tensor(466.59366)
tensor(927.25629),tensor(467.44763)
tensor(928.74261),tensor(467.93967)
tensor(930.40521),tensor(471.08646)
tensor(929.84875),tensor(470.76379)
tensor(933.81647),tensor(468.31476)
tensor(934.28198),tensor(469.59836)
tensor(933.63147),tensor(470.17889)
tensor(934.64484),tensor(469.91943)
tensor(931.35010),tensor(469.99756)
tensor(928.59393),tensor(470.43011)
tensor(931.64099),tensor(468.80276)
tensor(937.57556),tensor(467.27905)
tensor(929.96558),tensor(468.20071)
tensor(934.77966),tensor(468.96570)
tensor(925.88892),tensor(468.03357)
tensor(922.28113),tensor(467.44998)
tensor(922.08240),tensor(465.48492)
tensor(921.27319),tensor(466.59824)
tensor(920.74231),tensor(466.51227)
tensor(913.55884),tensor(470.55225)
tensor(913.45178),tensor(468.84662)
tensor(914.41138),tensor(470.40009)
tensor(916.19366),tensor(473.19101)
tensor(915.70422),tensor(473.84912)
tensor(920.18890),tensor(475.28687)
tensor(919.27216),tensor(476.26175)
tensor(920.87073),tensor(476.88519)
tensor(922.12878),tensor(476.94269)
tensor(928.95282),tensor(479.15170)
tensor(943.99377),tensor(480.96375)
tensor(947.04474),tensor(481.26801)
tensor(952.24316),tensor(481.27200)
tensor(951.57611),tensor(482.00232)
tensor(953.20850),tensor(482.85318)
tensor(951.56439),tensor(481.09631)
tensor(950.83801),tensor(480.01807)
tensor(957.18933),tensor(479.17627)
tensor(958.95557),tensor(479.36310)
tensor(961.53162),tensor(478.13446)
tensor(962.63477),tensor(478.56183)
tensor(960.66772),tensor(476.77673)
tensor(960.29468),tensor(477.19812)
tensor(957.90491),tensor(476.40527)
tensor(955.11536),tensor(477.85184)
tensor(951.54761),tensor(476.51730)
tensor(949.71326),tensor(476.84695)
tensor(946.35291),tensor(476.09146)
tensor(954.62897),tensor(475.11835)
tensor(953.71155),tensor(474.31873)
tensor(928.29431),tensor(473.63226)
tensor(928.48529),tensor(472.82257)
tensor(928.30969),tensor(471.91638)
tensor(928.48114),tensor(471.42419)
tensor(928.08008),tensor(471.35934)
tensor(928.27228),tensor(471.04749)
tensor(927.87817),tensor(470.71188)
tensor(928.10632),tensor(470.69427)
tensor(928.00378),tensor(469.85196)
tensor(927.41840),tensor(469.21906)
tensor(926.69434),tensor(469.00439)
tensor(926.16101),tensor(468.21063)
tensor(926.47119),tensor(467.24637)
tensor(925.16736),tensor(467.77145)
tensor(924.62714),tensor(467.48123)
tensor(923.44568),tensor(466.85828)
tensor(921.71313),tensor(466.17352)
tensor(920.34918),tensor(466.24457)
tensor(919.58582),tensor(466.13855)
tensor(918.97894),tensor(466.62076)
tensor(917.87415),tensor(466.83276)
tensor(917.57886),tensor(466.85214)
tensor(918.02881),tensor(466.56897)
tensor(916.04376),tensor(468.20392)
tensor(915.48206),tensor(468.37857)
tensor(915.43488),tensor(468.75345)
tensor(914.70386),tensor(469.22345)
tensor(913.94287),tensor(468.95865)
tensor(913.86072),tensor(467.50235)
tensor(914.87567),tensor(467.20230)
tensor(915.28571),tensor(467.55646)
tensor(915.99347),tensor(467.23706)
tensor(916.25714),tensor(467.41577)
tensor(916.08173),tensor(468.16867)
tensor(915.87952),tensor(467.89233)
tensor(913.98621),tensor(467.85822)
tensor(912.22681),tensor(466.80908)
tensor(910.02454),tensor(467.75320)
tensor(907.12872),tensor(466.71259)
tensor(905.49457),tensor(469.35242)
tensor(902.72699),tensor(470.01642)
tensor(900.87933),tensor(469.04102)
tensor(899.01556),tensor(468.82401)
tensor(896.90527),tensor(467.69916)
tensor(895.53082),tensor(466.42389)
tensor(894.43683),tensor(467.54337)
tensor(894.29144),tensor(466.46674)
tensor(893.18793),tensor(467.40869)
tensor(892.48224),tensor(464.85941)
tensor(891.76501),tensor(468.07336)
tensor(891.15198),tensor(468.04721)
tensor(891.83954),tensor(465.73572)
tensor(891.67578),tensor(465.79889)
tensor(891.33240),tensor(466.85309)
